steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
33000000	822	100159.11114168167	-26.877712491768087	-26.967049829477673	0.9441375293382323	-25.526913688191602	-28.3299799696741	60000.0	60000.0	0.0	60000.0	60000.0	0.041580259917984516	0.0	0.0	-0.053504173	-5.0316916	0.002420788714662194	-0.009444640974979848	0.00881877364590764	19800	0.8586241241426207
36000000	823	106304.38580465317	-42.534950069917436	-24.94358522475391	54.4931805565407	-23.816357072914872	-197.58365820102625	54565.5	60000.0	17185.397944185057	60000.0	5655.0	0.11699778849196267	7.1	9.1	0.011206652	-5.2396417	0.001668250160291791	-0.010692708161659539	0.010878497157245875	21600	0.8224268661444432
39000000	823	112708.98471283913	-23.70945830047027	-23.83909348813149	0.46970552158814766	-22.77857795290938	-24.181770619086954	60000.0	60000.0	0.0	60000.0	60000.0	0.040551261194580114	0.0	0.0	-0.06338416	-5.496242	0.0015368164354003966	-0.011301273251883686	0.011008254764601589	23400	0.835263079356602
42000000	823	118001.22299265862	-22.40713402370224	-22.45851312129969	1.2764283396394176	-20.52030744511335	-24.18403075835442	60000.0	60000.0	0.0	60000.0	60000.0	0.03987304430260909	0.0	0.0	-0.058533534	-5.700292	0.0011038652964634821	-0.010603367071744287	0.009330663848668336	25200	0.8468903930315845
45000000	823	123611.15367436409	-39.96124259710037	-22.40039494203436	56.40484029892421	-20.49157321527082	-200.4764276613516	54602.4	60000.0	17068.709898524845	60000.0	6024.0	0.10969703032022186	6.8	7.5	-0.06419533	-6.0171366	0.0010887715325225145	-0.010982250203378499	0.008692197729833423	27000	0.8603220831907926
48000000	824	129072.6493666172	-36.59935916232331	-20.890149180671035	50.01290029216691	-19.374145502636683	-178.9104694562229	54564.3	60000.0	17189.192677377257	60000.0	5643.0	0.10852643946390532	10.1	6.0	-0.025526686	-6.0456505	0.0008265681902412326	-0.011448258480650111	0.009935437878593802	28800	0.8526245273346911
51000000	827	134198.1066737175	-55.388757807735146	-20.707052271615495	74.53829202118473	-18.37581090785746	-197.55140677022493	49189.1	60000.0	22791.984129172353	60000.0	5593.0	0.18404379153158584	14.1	14.9	-0.038479857	-6.298457	0.0015775594813749194	-0.008370875626133057	0.007237583748064935	30600	0.9645845535865059
54000000	827	139392.67362618446	-52.84762695169339	-20.53203665494934	69.94501799193618	-16.532380567590547	-185.7794742265468	49130.4	60000.0	22915.132914493184	60000.0	5623.0	0.18488773941469674	16.3	14.3	-0.031154579	-6.392368	0.0010884815058670937	-0.010632658975664526	0.009867607336491346	32400	0.8448169105191821
57000000	828	144553.25864458084	-37.8614979824775	-20.17493786952636	58.15871831384784	-17.262327533398572	-203.34459787454765	54593.7	60000.0	17096.221714168307	60000.0	5937.0	0.11234005108721619	6.7	9.4	-0.048869397	-6.2491226	0.0011466499516973273	-0.009736243432271294	0.009169436190277339	34200	0.840560879408436
60000000	831	149862.608648777	-52.75093947275905	-18.951887391787658	72.30815787300588	-17.135225497740986	-191.236047931968	49202.5	60000.0	22763.69460957025	60000.0	5672.0	0.17678078370975633	18.9	13.2	-0.056726575	-6.6270666	0.0007207739353179932	-0.010995895027881487	0.008316123122349382	36000	0.8753771907050775
