steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
33000000	973	49610.080156326294	-41.91088167360899	-34.675168251567456	23.20553205809374	-33.292122128922806	-107.89384055933883	54984.5	60000.0	15860.403604574507	60000.0	9845.0	0.07751358851539333	7.5	4.1	-0.088715754	-4.598651	0.0043733322015032175	-0.011135179938573856	0.011599641628563404	19800	0.840705944659156
36000000	976	54384.15226364136	-32.61032038954815	-32.33655633841482	1.2094355065797284	-31.585587225327153	-35.03751591037146	60000.0	60000.0	0.0	60000.0	60000.0	0.03803230809857368	0.0	0.0	-0.067277655	-4.743666	0.0023500263527967036	-0.010729182693758048	0.010796296037733554	21600	0.8647989727196093
39000000	980	59285.03774571419	-31.412315397968914	-31.13741538816299	1.2041450251341592	-29.74685012295002	-33.81921368109058	60000.0	60000.0	0.0	60000.0	60000.0	0.03436400778602315	0.0	0.0	-0.086263046	-5.045358	0.0015760265453718602	-0.010092152074212208	0.010587412612512708	23400	0.8977971098229388
42000000	981	64342.825299978256	-29.624182464617135	-29.6441635842881	1.4366908225656205	-27.647733313801183	-31.97914426789631	60000.0	60000.0	0.0	60000.0	60000.0	0.03306033265469808	0.0	0.0	-0.017972913	-5.309863	0.001029461084981449	-0.010024427233729512	0.009366510128602385	25200	0.878384743301311
45000000	983	69425.39625000954	-25.515136297933218	-25.27170075863377	0.7211036492723989	-24.676245128872015	-26.858613398097678	60000.0	60000.0	0.0	60000.0	60000.0	0.030415594457111027	0.0	0.0	-0.05678501	-5.5413632	0.0013179515453521163	-0.008849880611815025	0.009738633735105395	27000	0.8691891932809738
48000000	984	74308.06993985176	-22.779819191686595	-22.957929324471728	1.173384651326395	-20.550523880641293	-24.14220107792299	60000.0	60000.0	0.0	60000.0	60000.0	0.029501748614521633	0.0	0.0	-0.074027225	-5.8549104	0.0007927025819662958	-0.009207074176083551	0.00916944921016693	28800	0.8890383681437546
51000000	987	79239.40473484993	-29.559805976155545	-21.385559398362886	25.8699452911254	-20.156567858788907	-103.14867604774001	54563.1	60000.0	17192.98741056946	60000.0	5631.0	0.08471092317204112	8.0	2.8	-0.071516894	-5.9178557	0.008692503252532333	-0.006241003705981712	0.006266747629269958	30600	0.7177334164828151
54000000	989	84142.08038258553	-19.77218125063551	-20.10994948055091	1.0900126180200265	-17.575788889919778	-21.131511609191115	60000.0	60000.0	0.0	60000.0	60000.0	0.02891858750759907	0.0	0.0	-0.0469944	-6.2487736	0.0015998215007130057	-0.006910192567156628	0.005770969386212528	32400	0.7792565802677003
57000000	989	88982.64417505264	-17.98499154169077	-18.322853418223247	1.372092149904833	-14.979005642245356	-19.54228078471529	60000.0	60000.0	0.0	60000.0	60000.0	0.027906269498298934	0.0	0.0	-0.05163467	-6.308898	0.0009438525565201416	-0.00831366226891987	0.007350375172682107	34200	0.8686989387326509
60000000	991	94132.45066452026	-17.97141826784918	-17.604225232638473	1.558207347203112	-15.688378376052793	-20.31701871149021	60000.0	60000.0	0.0	60000.0	60000.0	0.028551458134088013	0.0	0.0	-0.03319422	-6.312222	0.00613443051930517	-0.0046905075424183455	0.005712579288519919	36000	0.6915620460587465
63000000	992	99106.57555031776	-27.48295594356863	-18.202635787018345	30.023191761357907	-15.963631788763404	-112.88968479941511	56473.3	60000.0	11152.404624115823	60000.0	24733.0	0.042186297411098236	4.5	2.3	-0.048813574	-6.3207846	0.0004666618909686804	-0.007625906508474145	0.0059425660502165556	37800	0.9152054950973503
66000000	993	104132.1333193779	-26.24906758648578	-17.91646535377244	27.806086840887897	-15.281305660837889	-105.29680132869605	54625.6	60000.0	16995.34505680894	60000.0	6256.0	0.08536792672392397	8.0	2.5	-0.014119188	-6.358579	0.0005181622033705934	-0.007948278365074658	0.006626986674964428	39600	0.9164530964650511
69000000	996	109465.78774166107	-26.49286327495566	-16.499812536325294	32.126015188819245	-14.47595915353351	-117.85023803321917	58509.0	60000.0	4714.955991311053	60000.0	45090.0	0.03581391590042167	2.1	1.2	-0.035457414	-6.696815	0.0005738284016842954	-0.005714550626580603	0.006971662049181759	41400	0.8983527840755794
72000000	997	114525.23863768578	-25.819940336803707	-16.221566847529754	30.833607066449154	-14.46458297490025	-113.5458069098684	55786.2	60000.0	13325.205604417517	60000.0	17862.0	0.052145400760057005	6.2	2.8	-0.027069362	-6.7266254	0.007406351184472442	-0.0034984958751738304	0.0041583720245398584	43200	0.7182625918918997
75000000	998	119541.62554955482	-16.21946312005848	-16.19500849776174	0.7814971790175405	-14.66761240055646	-17.570282846103705	60000.0	60000.0	0.0	60000.0	60000.0	0.027217654271644232	0.0	0.0	-0.0049520805	-6.818436	0.00018630016762472224	-0.006554533741436898	0.005069862129166722	45000	0.9575189225461058
78000000	998	124708.430757761	-24.778603982645087	-15.912237651595126	28.07439569327624	-14.959437099169314	-104.65089375788816	54585.1	60000.0	17123.417302045757	60000.0	5851.0	0.0804643780029368	8.1	2.2	-0.020583427	-6.8117332	0.0002457148076791782	-0.005516293623659294	0.005200233226642013	46800	0.9449874472302813
81000000	999	129840.66523504257	-34.21788085508653	-16.562533399936875	37.930384692715855	-14.84910725458011	-106.39652494195855	49208.6	60000.0	22750.662677528024	60000.0	5759.0	0.13975080196888803	16.1	4.6	-0.024801655	-7.090796	0.0004421301939873956	-0.005059431243898871	0.006431934135034681	48600	0.9210066558155704
84000000	1001	134685.1008656025	-34.09141844701231	-15.420072649149411	40.70588364922025	-12.922130675281057	-112.49151659761995	50658.4	60000.0	19807.79202569871	60000.0	8791.0	0.08560103833021906	13.1	4.8	-4.2055846e-05	-7.118494	0.0003703379357466474	-0.0037480954095008203	0.006576965833082795	50400	0.9254348824979032
87000000	1001	139839.79914736748	-14.504089593462279	-14.887083635251644	1.471643375745238	-11.52715517172736	-16.399729999634857	60000.0	60000.0	0.0	60000.0	60000.0	0.027523065363594522	0.0	0.0	-0.022305747	-6.9250507	0.0003289321865304373	-0.003468976148869842	0.003502318663522601	52200	0.9343481363389002
90000000	1003	145048.87870144844	-32.68761631767965	-15.484890099029464	38.558222442359494	-12.041607848605056	-107.1534655561584	49278.5	60000.0	22605.103343419305	60000.0	5724.0	0.1327181680755744	16.1	5.1	-0.022875026	-7.099966	0.00034518765431130306	-0.0029165019448237216	0.0023496929591055957	54000	0.9309143229754435
