steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
36000000	1505	57750.71768426895	-121.71512347883876	-73.27533001498117	138.46924410171468	-35.914947382586554	-495.4730317838013	47955.8	60000.0	18147.58858054945	60000.0	10648.0	0.3311629436355184	16.7	15.8	0.10356319	-4.5674853	0.398500542640686	-0.012145195610355587	0.012048730375245214	21600	0.7141369121030235
39000000	1518	62551.52310705185	-100.70829903091449	-100.09154681566565	63.7526097107334	-32.956925096236375	-210.3379397445374	49382.1	60000.0	17745.645183787736	60000.0	15969.0	0.3096376020353312	15.7	16.5	-0.19950758	-4.614232	0.333900708258152	-0.011889107855968178	0.011769533138722182	23400	0.7506888007758717
42000000	1538	67406.43003702164	-106.49144580649153	-98.8891124701483	75.74126305462792	-33.93585914801968	-243.34882664507217	49629.5	55587.5	12363.93524417781	60000.0	30647.0	0.329363602062137	15.6	14.9	-0.1957649	-4.8518896	0.21178942739963533	-0.01244036338524893	0.01215477792546153	25200	0.7351173578198715
45000000	1560	72187.2310397625	-93.52565204893604	-40.34531847950656	92.23055565837099	-36.02608076093559	-327.67509592743966	50877.9	60000.0	13279.818150110339	60000.0	23997.0	0.2664755744856083	13.9	12.6	0.5019026	-4.978169	0.2870579206943512	-0.011924211439909413	0.011143632978200913	27000	0.8391860289030231
48000000	1580	76999.33464431763	-47.42368426681334	-35.21170171987089	30.303687893484856	-32.52495764535827	-131.90421494274435	59583.1	60000.0	1318.3535565241973	60000.0	55831.0	0.2136063037376763	0.8	0.6	0.033803396	-5.1712794	0.22393433555960654	-0.011471998175984481	0.010889794630929827	28800	0.6854674611136818
51000000	1601	82032.50938487053	-96.72905236655585	-34.16965261075921	156.93838391905686	-31.5292305126105	-534.7895622000856	53396.0	60000.0	14422.209539456844	60000.0	18996.0	0.18460301889432137	7.3	7.0	0.9153868	-5.225255	0.13835075110197068	-0.011693638765718788	0.010025667939335108	30600	0.9505052944821512
54000000	1616	86921.97108912468	-45.3101091179982	-37.00642199971861	27.07073068941851	-32.09722654311104	-121.43819906879285	55336.6	60000.0	14746.96564042922	60000.0	13366.0	0.20710355598340344	6.9	6.9	-0.030631598	-5.3682785	0.21874310106039047	-0.010758509101578965	0.01052733264863491	32400	0.8717965319963895
57000000	1633	92087.72383213043	-73.21175891246476	-34.74221794847607	120.82728359051137	-32.565319266062204	-417.00758171741467	56505.2	60000.0	11051.527966756452	60000.0	25052.0	0.1879564613162432	2.0	2.1	-0.21587156	-5.411321	0.09571193650364876	-0.010304374137194827	0.009992664530873299	34200	0.7976945754953584
60000000	1641	97468.2223572731	-170.01150029339937	-83.54661332987354	173.79519296965333	-30.927379941682354	-471.73393698810645	45313.1	59890.5	19352.119754406463	60000.0	14432.0	0.25313167307270346	21.2	20.0	-0.2989526	-5.528504	0.10503446526825427	-0.010159708478604444	0.009525696369819344	36000	0.7785490297100772
63000000	1656	102541.11746096611	-122.95146509007624	-70.9076165314661	130.55258221472468	-27.101853491692964	-362.373605595878	48452.4	54132.5	16216.5042417354	60000.0	8828.0	0.23538807127600406	17.4	16.9	-0.337954	-5.522491	0.1411720860004425	-0.010015464510215679	0.009905119752511382	37800	0.7903177479661496
66000000	1670	107522.4988386631	-103.49266980728693	-36.22538412415824	133.82471170680776	-28.805067281012136	-465.08741049686415	48607.0	60000.0	16698.279152854844	60000.0	20448.0	0.20330905571101346	13.4	13.6	-1.013583	-5.6054573	0.09534032486379146	-0.009681632918145625	0.008985558170825242	39600	0.929868949624519
69000000	1685	112607.8689672947	-93.63190074501576	-37.60772650832073	118.67122829681672	-29.075771067706377	-400.22957695713893	48207.2	60000.0	20186.022324591064	60000.0	8420.0	0.25800455835395597	17.2	17.9	-0.12696631	-5.670142	0.06227451149374247	-0.008951391665214033	0.008894311059266328	41400	0.8286429594033489
72000000	1698	117461.33693265915	-72.65539353869192	-33.53823553323109	100.38277344435417	-27.771621806847744	-344.3529401721531	57733.1	60000.0	5195.682234103408	60000.0	44341.0	0.14771146157440762	3.3	3.5	-0.06467537	-5.5633917	0.08413160622119903	-0.00868793853878742	0.008161934814415872	43200	0.8627282129293772
75000000	1709	122475.51383757591	-107.86885646946942	-33.8990768250205	143.41763641129702	-28.253917020034773	-451.23649193094053	50956.8	60000.0	14978.536242088396	60000.0	24260.0	0.18841960745734387	13.5	13.2	-0.25835258	-5.726713	0.054409516379237174	-0.007912560546828899	0.007485990053974092	45000	0.9550097807393233
78000000	1712	127531.55589032173	-65.28441107602131	-30.9796178344448	103.46516694607014	-27.400081390099224	-359.26197320953463	59237.7	60000.0	2410.6042603463557	60000.0	52377.0	0.14546099301261753	1.1	1.3	0.0057198335	-5.7399025	0.12321835689246655	-0.006944366415700643	0.007363485018722713	46800	0.789241575624031
81000000	1717	132462.86012506485	-51.090074060018665	-29.3234942259124	68.11554748906389	-25.38800388755895	-244.74086637705534	57504.5	60000.0	7891.463900950191	60000.0	35045.0	0.12446675973432478	3.6	3.7	-0.06772165	-5.751852	0.07679402105510234	-0.006649273946823087	0.007110687796957791	48600	0.8408222124167275
84000000	1729	137477.46015691757	-60.97881164815832	-33.13683887647831	87.19155304319199	-28.225620856512304	-308.81229050172516	56560.3	60000.0	10877.286467681175	60000.0	25603.0	0.15039757735255088	5.2	5.0	-0.1322934	-5.8300705	0.09821221485733986	-0.0054667408266686835	0.0060894616832956674	50400	0.7876781516159641
87000000	1735	142393.96431469917	-42.203561918017435	-31.312931844424355	33.74211164957332	-28.44328454918058	-138.05909429883158	60000.0	60000.0	0.0	60000.0	60000.0	0.1353751489810408	0.0	0.0	-0.1393479	-5.844	0.15192201763391494	-0.003980132832512026	0.00541900176089257	52200	0.7961334511510806
90000000	1742	147328.27021455765	-30.604220933807873	-30.107443493606297	1.7084178905160172	-28.895169572056798	-34.71305910770744	60000.0	60000.0	0.0	60000.0	60000.0	0.1433466208745506	0.0	0.0	-0.22271413	-5.754254	0.05242111392319202	-0.002560722053858626	0.0039725984982214866	54000	0.9474640495697988
